"property","value"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Alumnado_de_la_Universidad_Internacional_de_Andalucía"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Diputados_de_Perú_1980-1985"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Diputados_por_Lima_Metropolitana"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Sanmarquinos_(siglo_XX)"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Sociólogos_de_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Provincia_de_Lima"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Pontificia_Universidad_Católica_del_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/José_Agustín_Haya_de_la_Torre"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Diputados_al_Parlamento_Latinoamericano"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Limeños"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Ingeniería_agrícola"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Políticos_de_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Miembros_del_Partido_Nacionalista_Peruano"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Apurimeños"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Congresistas_por_Cusco"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Ingenieros_de_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Congresistas_de_Perú_2011-2016"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Alumnado_de_la_Universidad_Nacional_San_Antonio_Abad"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Departamento_del_Cuzco"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Primera_Guerra_Mundial"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Amin_al-Husayni"
