id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city
FreePlace362,-3.65133,40.4260266,"'28017,ES,Madrid,Madrid,Avenida del Marqués de corbera 50,Madrid'",28017,ES,Madrid,Madrid,Avenida del Marqués de corbera 50,Madrid
FreePlace363,-3.6705833,40.4823683,"'28033,ES,Madrid,Madrid,Calle de Caleruega 67,Madrid'",28033,ES,Madrid,Madrid,Calle de Caleruega 67,Madrid
FreePlace364,-3.7059816,40.428415,"'28015,ES,Madrid,Madrid,Calle de San bernardo 82,Madrid'",28015,ES,Madrid,Madrid,Calle de San bernardo 82,Madrid
FreePlace365,-3.6743366,40.4008033,"'28007,ES,Madrid,Madrid,Calle del Cerro de la plata 1,Madrid'",28007,ES,Madrid,Madrid,Calle del Cerro de la plata 1,Madrid
FreePlace366,-3.6928116,40.44155,"'28003,ES,Madrid,Madrid,Plaza de San juan de la cruz 11,Madrid'",28003,ES,Madrid,Madrid,Plaza de San juan de la cruz 11,Madrid
FreePlace367,-3.6802666,40.4048933,"'28007,ES,Madrid,Madrid,Avenida de Menéndez pelayo 38,Madrid'",28007,ES,Madrid,Madrid,Avenida de Menéndez pelayo 38,Madrid
FreePlace368,-3.693795,40.4521949,"'28020,ES,Madrid,Madrid,Avenida de la Vaguada ,Madrid'",28020,ES,Madrid,Madrid,Avenida de la Vaguada ,Madrid
FreePlace369,-3.7058983,40.4056766,"'28005,ES,Madrid,Madrid,Ronda de Toledo 20H,Madrid'",28005,ES,Madrid,Madrid,Ronda de Toledo 20H,Madrid
FreePlace370,-3.7060566,40.428295,"'28015,ES,Madrid,Madrid,Calle de San bernardo 80,Madrid'",28015,ES,Madrid,Madrid,Calle de San bernardo 80,Madrid
FreePlace371,-3.641605,40.391655,"'28038,ES,Madrid,Madrid,Calle de los Andaluces 2,Madrid'",28038,ES,Madrid,Madrid,Calle de los Andaluces 2,Madrid
FreePlace372,-3.6987483,40.3862216,"'28026,ES,Madrid,Madrid,Avenida de Córdoba 9A,Madrid'",28026,ES,Madrid,Madrid,Avenida de Córdoba 9A,Madrid
FreePlace373,-3.6730733,40.41805,"'28009,ES,Madrid,Madrid,Calle de Ibiza 46,Madrid'",28009,ES,Madrid,Madrid,Calle de Ibiza 46,Madrid
FreePlace374,-3.7248066,40.4143066,"'28011,ES,Madrid,Madrid,Calle de Saavedra fajardo 10,Madrid'",28011,ES,Madrid,Madrid,Calle de Saavedra fajardo 10,Madrid
FreePlace375,-3.70605,40.4284516,"'28015,ES,Madrid,Madrid,Calle de San bernardo 82,Madrid'",28015,ES,Madrid,Madrid,Calle de San bernardo 82,Madrid
FreePlace376,-3.6290283,40.4805716,"'28055,ES,Madrid,Madrid,Glorieta de Luis cubillo ,Madrid'",28055,ES,Madrid,Madrid,Glorieta de Luis cubillo ,Madrid
FreePlace377,-3.6977683,40.4252033,"'28004,ES,Madrid,Madrid,Calle de Hortaleza 104,Madrid'",28004,ES,Madrid,Madrid,Calle de Hortaleza 104,Madrid
FreePlace378,-3.7047816,40.4069016,"'28005,ES,Madrid,Madrid,Calle del Casino 8,Madrid'",28005,ES,Madrid,Madrid,Calle del Casino 8,Madrid
FreePlace379,-3.6977416,40.4251966,"'28004,ES,Madrid,Madrid,Calle de Hortaleza 104,Madrid'",28004,ES,Madrid,Madrid,Calle de Hortaleza 104,Madrid
FreePlace380,-3.6775766,40.3928966,"'28045,ES,Madrid,Madrid,Calle Titán 4,Madrid'",28045,ES,Madrid,Madrid,Calle Titán 4,Madrid
FreePlace381,-3.6945099,40.4239333,"'28004,ES,Madrid,Madrid,Plaza de Salesas 8,Madrid'",28004,ES,Madrid,Madrid,Plaza de Salesas 8,Madrid
FreePlace382,-3.6977166,40.4509233,"'28020,ES,Madrid,Madrid,Calle de la Reina mercedes 18,Madrid'",28020,ES,Madrid,Madrid,Calle de la Reina mercedes 18,Madrid
FreePlace383,-3.6711233,40.4820766,"'28033,ES,Madrid,Madrid,Calle de Caleruega 63,Madrid'",28033,ES,Madrid,Madrid,Calle de Caleruega 63,Madrid
FreePlace384,-3.67041,40.4051366,"'28007,ES,Madrid,Madrid,Calle de Santa sabina 3,Madrid'",28007,ES,Madrid,Madrid,Calle de Santa sabina 3,Madrid
FreePlace385,-3.6876683,40.4268716,"'28001,ES,Madrid,Madrid,Calle de Serrano 44B,Madrid'",28001,ES,Madrid,Madrid,Calle de Serrano 44B,Madrid
FreePlace386,-3.6994349,40.4367666,"'28010,ES,Madrid,Madrid,Calle de Santa engracia 78,Madrid'",28010,ES,Madrid,Madrid,Calle de Santa engracia 78,Madrid
FreePlace387,-3.6701283,40.498655,"'28050,ES,Madrid,Madrid,Calle Quintanadueñas 12,Madrid'",28050,ES,Madrid,Madrid,Calle Quintanadueñas 12,Madrid
FreePlace388,-3.6788383,40.42608,"'28001,ES,Madrid,Madrid,Calle de Hermosilla 70,Madrid'",28001,ES,Madrid,Madrid,Calle de Hermosilla 70,Madrid
FreePlace389,-3.62463,40.43821,"'28037,ES,Madrid,Madrid,Calle Albasánz 64,Madrid'",28037,ES,Madrid,Madrid,Calle Albasánz 64,Madrid
FreePlace390,-3.7304333,40.4282116,"'28008,ES,Madrid,Madrid,Calle de Aniceto marinas 98,Madrid'",28008,ES,Madrid,Madrid,Calle de Aniceto marinas 98,Madrid
FreePlace391,-3.7266566,40.4249849,"'28008,ES,Madrid,Madrid,Puente de la Reina victoria ,Madrid'",28008,ES,Madrid,Madrid,Puente de la Reina victoria ,Madrid
FreePlace392,-3.6773616,40.449225,"'28002,ES,Madrid,Madrid,Calle del Príncipe de vergara 202,Madrid'",28002,ES,Madrid,Madrid,Calle del Príncipe de vergara 202,Madrid
FreePlace393,-3.6703816,40.4051283,"'28007,ES,Madrid,Madrid,Calle de Santa sabina 3,Madrid'",28007,ES,Madrid,Madrid,Calle de Santa sabina 3,Madrid
FreePlace394,-3.6913966,40.4330333,"'28010,ES,Madrid,Madrid,Glorieta Rubén darío 2,Madrid'",28010,ES,Madrid,Madrid,Glorieta Rubén darío 2,Madrid
FreePlace395,-3.7348183,40.4163933,"'28011,ES,Madrid,Madrid,Ronda del Lago 2,Madrid'",28011,ES,Madrid,Madrid,Ronda del Lago 2,Madrid
FreePlace396,-3.6633666,40.48771,"'28050,ES,Madrid,Madrid,Avenida de Manoteras 46D,Madrid'",28050,ES,Madrid,Madrid,Avenida de Manoteras 46D,Madrid
FreePlace397,-3.687515,40.4267833,"'28001,ES,Madrid,Madrid,Calle de Serrano 44,Madrid'",28001,ES,Madrid,Madrid,Calle de Serrano 44,Madrid
FreePlace398,-3.6953416,40.4277883,"'28004,ES,Madrid,Madrid,Plaza de Alonso martínez 5,Madrid'",28004,ES,Madrid,Madrid,Plaza de Alonso martínez 5,Madrid
FreePlace399,-3.6491916,40.4441566,"'28027,ES,Madrid,Madrid,Calle de Agastia 20,Madrid'",28027,ES,Madrid,Madrid,Calle de Agastia 20,Madrid
FreePlace400,-3.659095,40.490505,"'28050,ES,Madrid,Madrid,Avenida de Francisco pi y margall 72,Madrid'",28050,ES,Madrid,Madrid,Avenida de Francisco pi y margall 72,Madrid
FreePlace401,-3.71798,40.4372933,"'28015,ES,Madrid,Madrid,Calle de Isaac peral 22,Madrid'",28015,ES,Madrid,Madrid,Calle de Isaac peral 22,Madrid
FreePlace402,-3.698415,40.4608716,"'28020,ES,Madrid,Madrid,Calle de Bravo murillo 291,Madrid'",28020,ES,Madrid,Madrid,Calle de Bravo murillo 291,Madrid
FreePlace403,-3.6629816,40.4882583,"'28050,ES,Madrid,Madrid,Calle de Oña 63B,Madrid'",28050,ES,Madrid,Madrid,Calle de Oña 63B,Madrid
